Date,Adj Close,Close,High,Low,Open,Volume,Asset,Rolling Mean,Rolling Std
2015-01-02,169.68785095214844,205.42999267578125,206.8800048828125,204.17999267578125,206.3800048828125,121465900,SPY,,
2015-01-05,166.62335205078125,201.72000122070312,204.3699951171875,201.3500061035156,204.1699981689453,169632600,SPY,,
2015-01-06,165.05389404296875,199.82000732421875,202.72000122070312,198.8600006103516,202.08999633789065,209151400,SPY,,
2015-01-07,167.1106719970703,202.30999755859372,202.72000122070312,200.8800048828125,201.4199981689453,125346700,SPY,,
2015-01-08,170.0760498046875,205.8999938964844,206.16000366210935,203.9900054931641,204.00999450683597,147217800,SPY,,
2015-01-09,168.7131805419922,204.25,206.4199981689453,203.50999450683597,206.3999938964844,158567300,SPY,,
2015-01-12,167.39154052734375,202.6499938964844,204.6000061035156,201.9199981689453,204.41000366210935,144396100,SPY,,
2015-01-13,166.92066955566406,202.0800018310547,205.47999572753903,200.50999450683597,204.1199951171875,214553300,SPY,,
2015-01-14,165.9129180908203,200.8600006103516,201.1000061035156,198.57000732421875,199.6499938964844,192991100,SPY,,
2015-01-15,164.3931427001953,199.0200042724609,202.00999450683597,198.8800048828125,201.6300048828125,176613900,SPY,,
2015-01-16,166.54901123046875,201.6300048828125,201.82000732421875,198.5500030517578,198.7700042724609,211879600,SPY,,
2015-01-20,166.90415954589844,202.05999755859372,202.72000122070312,200.1699981689453,202.3999938964844,130991100,SPY,,
2015-01-21,167.74673461914062,203.0800018310547,203.66000366210935,200.94000244140625,201.5,122942700,SPY,,
2015-01-22,170.24127197265625,206.1000061035156,206.25999450683597,202.3300018310547,203.9900054931641,174356000,SPY,,
2015-01-23,169.3078155517578,204.97000122070312,206.1000061035156,204.80999755859372,205.7899932861328,117516800,SPY,,
2015-01-26,169.704345703125,205.4499969482422,205.55999755859372,203.8500061035156,204.7100067138672,92009700,SPY,,
2015-01-27,167.46585083007812,202.7400054931641,204.1199951171875,201.7400054931641,202.97000122070312,134044600,SPY,,
2015-01-28,165.3182830810547,200.13999938964844,204.2899932861328,199.91000366210935,204.1699981689453,168514300,SPY,,
2015-01-29,166.84632873535156,201.9900054931641,202.3000030517578,198.67999267578125,200.3800048828125,173585400,SPY,,
2015-01-30,164.74827575683594,199.4499969482422,202.1699981689453,199.1300048828125,200.57000732421875,197729700,SPY,,
2015-02-02,166.78854370117188,201.9199981689453,202.02999877929688,197.8600006103516,200.0500030517578,163107000,SPY,,
